name,price,Aturan Pakai,uses,Dosis,Efek Samping,Golongan Produk,Indikasi Umum,Kemasan,Komposisi,Kontra Indikasi,Manufaktur,No. Registrasi,Perhatian
Oparin Gel 20 gr,Rp42.300 - Rp42.400,Oleskan krim secukupnya pada daerah kulit,"Oparin Gel adalah gel yang mengandung heparin sodium yang berfungsi untuk mengobati memar atau lebam. Penggunaan Oparin Gel dapat mempercepat proses pemulihan lebam atau memar, dan dapat mengurangi gejala yang terjadi seperti bengkak, kebiruan, dan nyeri.",Gunakan 2-3 kali sehari sebagai olesan tipis pada kulit. Dapat juga dioleskan pada sepotong kain kasa lalu tempelkan pada bagian yang sakit. Jangan digosok atau diurut pada memar atau lebam,"Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis. Efek samping yang mungkin terjadi dalam penggunaan obat adalah: Ruam, iritasi, nyeri otot.",Obat Bebas Terbatas (Biru),"Oparin Gel adalah gel yang berfungsi untuk mengobati memar atau lebam. Penggunaan Oparin Gel dapat mempercepat proses pemulihan lebam atau memar, dan dapat mengurangi gejala yang terjadi seperti bengkak, kebiruan, dan nyeri.",Tube 20 G,Heparin Sodium 200 IU/ g,Tidak boleh digunakan pada luka terbuka,Pharos,BPOM: DTL1421644228A1,Tidak boleh digunakan pada luka terbuka.
Plantacid Forte Suspensi 100 ml,Rp35.000 - Rp42.300,Berikan 1 jam sesudah makan dan menjelang tidur malam.,"PLANTACID FORTE merupakan obat yang digunakan untuk mengurangi gejala-gejala yang berhubungan dengan kelebihan asam lambung, tukak lambung, tukak usus 12 jari dengan gejala seperti mual dan kembung. Plantacid adalah preparat antasida yang mengandung kombinasi dari campuran antasida lambung yang banyak dipakai dengan suatu antiflatulen. Mg(OH)2 adalah antasida yang bekerja dengan menetralkan asam lambung sehingga mengurangi efek destruktif asam lambung dan mengurangi aktivitas proteolitik pepsin. Akibatnya, nyeri epigastrium yang ditimbulkan oleh asam lambung dan pepsin berkurang. Efek ini diperpanjang oleh antasida kerja lambat Al(OH)3. Disamping itu, efek katartik Mg(OH)2 dan efek konstipasi Al(OH)3 dapat saling menetralkan. Simethicone, suatu zat anti-busa, berfungsi untuk mengurngi busa dan cairan lambung agar mengurangi rasa kembung dan flatulen.",Dewasa : 3-4 kali sehari 5-10 mL. Anak-anak 6-12 tahun : 3-4 kali sehari 2.5-5 mL. Diberikan 1-2 jam setelah makan dan menjelang tidur.,"Mual, muntah, konstipasi, diare. Gejala-gejala akan hilang bila pemakaian obat dihentikan.",Obat Bebas (Hijau),"Mengurangi gejala-gejala yang berhubungan dengan kelebihan asam lambung, tukak lambung, tukak usus 12 jari dengan gejala seperti mual dan kembung.","Dus, Botol @ 100 ml","Tiap 5 mL mengandung: Dried Aluminium Hydroxide Gel 400 mg, Mg Hydroxide 400 mg, Simethicone 100 mg","Penderita yang hipersensitif terhadap aluminium, magnesium, simethicone. Penderita dengan gangguan fungsi ginjal yang berat karena dapat menimbulkan hipermagnesemia (kadar magnesium dalam darah meningkat).",Kalbe Farma,BPOM: DBL8511602633B1,"Penderita gangguan fungsi ginjal. Penggunaan terus menerus (lebih dari 2 minggu) tidak dianjurkan (kecuali atas petunjuk dokter). Pemberian bersama dengan obat tetracycline atau cimetidine per oral harus dengan interval 2 jam. Tidak dianjurkan untuk anak-anak dibawah 6 tahun, dan hati-hati diberikan pada penderita dengan diet rendah phospor dan pemakaian yang lama."
Borax Glycerine Gom 10% Cito 8 ml,Rp4.500 - Rp5.000,Dioleskan pada bagian yang mengalami sariawan,"BORAX GLYCERIN GOM merupakan antiseptik yang digunakan untuk meredakan nyeri dan luka pada rongga mulut, seperti sariawan, bibir kering dan pecah-pecah, serta radang gusi.",Sesuai kebutuhan,"jika obat ini tertelan dalam jumlah banyak, dapat menyebabkan diare, mual, muntah, nyeri kepala, ruam kulit",Produk Konsumen,"Sariawan, bibir kering, bibir pecah-pecah",Botol @ 8 ml,Borax glycerin 10%,hipersensitif,Ciubros Farma,BPOM: QD161614411,wanita hamil dan menyusui
Konvermex 250 mg 2 Kaplet,Rp6.800 - Rp13.500,"Dosis tunggal, diminum sebelum tidur",KONVERMEX 250 MG KAPLET merupakan obat yang digunakan untuk mengatasi infeksi cacing,Anak < 5 th : 1/2 tablet / hari,,,,,,,,,
Pantoprazole 20 mg 10 Tablet,Rp78.100 - Rp96.200,"Tablet tidak boleh dikunyah atau dihancurkan dan harus ditelan utuh dengan air putih, 1 jam sebelum makan.","PANTOPRAZOLE 20 MG TABLET adalah obat golongan Proton Pump Inibitor (PPI) yang digunakan untuk meredakan gejala meningkatnya asam lambung seperti sakit maag dan gejala refluks asam lambung. Pantoprazole bekerja dengan cara menghambat sel-sel di lapisan lambung untuk menghasilkan asam lambung, sehingga produksi asam lambung berkurang. Dengan berkurangnya asam lambung, luka (tukak) pada lambung dan erosi pada esofagus dapat dicegah atau dipercepat penyembuhannya. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. Pembelian obat ini memerlukan edukasi terkait penggunaan atau pengonsumsian obat yang tepat dan aman yang akan dikenakan biaya.","PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Gejala gastroesophageal reflux disease (GERD) atau nonerosive reflux disease (NERD): Dosis oral yang direkomendasikan adalah 20 mg per hari. Secara umum gejala akan berkurang setelah penggunaan 2-4 minggu dan pengobatan selama 4 minggu diperlukan untuk penyembuhan yang berkaitan dengan esophagitis. Apabila tidak mencukupi, penyembuhan biasanya akan tercapai dalam 4 minggu kemudian. Ketika gejala mereda, gejala kambuhan dapat dikendalikan dengan menggunakan aturan on-demand, 20 mg pantoprazole satu kali sehari ketika dibutuhkan. Peralihan menjadi terapi berkesinambungan dapat dipertimbangkan apabila pengendalian gejala yang memuaskan tidak dapat dipertahankan dengan pengobatan on-demand. Untuk penanganan jangka panjang reflux esophagitis sedang dan berat: Dosis pemeliharaan 20 mg per hari direkomendasikan untuk penanganan jangka panjang, apabila kambuh kembali dosis dapat ditingkatkan menjadi 40 mg per hari. Setelah kekambuhan tersebut hilang, dosis dapat dikurangi kembali menjadi pantoprazole 20 mg. Pada pasien dengan gangguan hati berat, dosis harian pantoprazole tidak boleh dari 20 mg. Tidak diperlukan penyesuaian dosis pada pasien lanjut usia atau dengan gangguan fungsi ginjal. Pasien yang tidak memberikan respons setelah 4 minggu penggunaan harus dilakukan pemeriksaan.","Sistem darah dan limfatik: leukopenia, trombositopenia. Gangguan gastrointestinal: nyeri perut bagian atas, diare, kontipasi, kembung, mual/muntah, mulut kering. Gangguan umum: edema perifer. Gangguan hepatobiliary: kerusakan hepatosekular yang berat dan mengarah ke jaundice dengan atau tanpa gagal hati. Gangguan sistem imun: reaksi anafilaksis termasuk syok anafilaktik. Gangguan jaringan penghubung musculoskeletal: artralgia, mialgia. Gangguan sistem saraf: sakit kepala, pusing, gangguan penglihatan (penglihatan kabur). Gangguan psikiatri: depresi mental Gangguan kulit dan subkutan: reaksi alergi (seperti pruritus dan ruam kulit), urtikaria, angioderma, reaksi kulit yang parah seperti sindrom Stevens Johnsons, eritema multiforme, sindrom Lyell, fotosensitivitas.",Obat Keras (Merah),INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Untuk meredakan gejala gastroesophageal reflux disease (GERD) atau nonerosive reflux disease (NERD). Untuk penanganan jangka panjang reflux esophagitis sedang dan berat.,"Dus, 1 Strip @ 10 Tablet Salut Enterik",Pantoprazole 20 mg,Pantoprazole tidak boleh digunakan bila diketahui memiliki hipersensitivitas terhadap pantoprazole atau salah satu kandungannya atau substitusi benzimidazole lainnya.,Generic Manufacturer,BPOM: GKL1505051115A1* *) Obat ini merupakan obat Generik. Nomor Registrasi dapat berbeda sesuai dengan ketersediaan stock Apotek.,"HARUS DENGAN RESEP DOKTER. Pasien dengan keganasan lambung, faktor risiko penurunan penyerapan vitamin B12 atau berisiko osteoporosis. Gangguan hati. Kehamilan dan laktasi. Metabolisme buruk CYP2C19."
Olay Total Effects Whip Active Moisturizer 50 g,Rp302.000 - Rp334.000,Ratakan pada wajah dan leher yang telah dibersihkan setiap pagi dan sore hari,"Olay Total Effects Whip Active Moisturizer merupakan krim pencerah yang diperkaya dengan vitamin (B3, Pro-B5, E) dan antioksidan (Teh Hijau, BHT). Mudah meresap. Membantu mengurangi tersumbatnya pori-pori. Membantu mengurangi minyak berlebih dan memberikan hasil akhir matte bahkan setelah 8 jam. Membantu melembapkan dan menyiapkan kulit untuk pemakaian make-up sepanjang hari",,,Produk Konsumen,Membantu melembapkan dan menyiapkan kulit untuk pemakaian make-up sepanjang hari.Membantu mencerahkan kulit.,"Dus, Pot @ 50 g",,,Procter & Gamble (P&G),BPOM: NA49180110282,
Limoxin Drops 20 ml,Rp31.800 - Rp37.800,bersama makanan.,LIMOXIN DROPS merupakan obat batuk yang mengandung Ambroxol hydrochloride. Ambroxol adalah agen mukolitik yang bekerja dengan cara meningkatkan sekresi saluran pernapasan dengan meningkatkan produksi surfaktan paru dan merangsang aktivitas silia dan menghasilkan peningkatan pembersihan mukosiliar serta peningkatan sekresi cairan yang memfasilitasi pengeluaran dan meredakan batuk. Obat ini digunakan sebagai sekretolitik pada gangguan saluran nafas akut dan kronis khususnya pada eksaserbasi bronkitis kronis dan bronkitis asmatik dan asma bronkial. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. Pembelian obat ini memerlukan edukasi terkait penggunaan atau pengonsumsian obat yang tepat dan aman yang akan dikenakan biaya.,"PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Anak 6-12 tahun: 1 mL sirup, 2-3 kali sehari. Anak 2-6 tahun: 0.5 mL sirup, 2-3 kali sehari. Anak <2 tahun: 0.5 mL sirup, 2-3 kali sehari.","Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis. Efek samping yang mungkin terjadi dalam penggunaan obat adalah: Reaksi alergi, gangguan gastrointestinal ringan",Obat Keras (Merah),INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Sebagai sekretolitik pada gangguan saluran nafas akut dan kronis khususnya pada eksaserbasi bronkitis kronis dan bronkitis asmatik dan asma bronkial.,"Dus, Botol @ 20 ml",Per ml: Ambroxol Hcl 15 mg,Hipersensitivitas,Pharos,BPOM: DKL1121634836A1,"HARUS DENGAN RESEP DOKTER. Hati-hati penggunaan pada pasien dengan tukak lambung atau duodenum, diskinesia silia, dan kondisi bronkial, Gangguan ginjal dan hati, Anak-anak, ibu hamil dan menyusui. Kategori kehamilan : Kategori C: Mungkin berisiko. Obat digunakan dengan hati-hati apabila besarnya manfaat yang diperoleh melebihi besarnya risiko terhadap janin. Penelitian pada hewan uji menunjukkan risiko terhadap janin dan belum terdapat penelitian langsung terhadap wanita hamil."
Nucef Dry Sirup 30 ml,Rp103.600 - Rp116.700,Dikonsumsi sebelum atau sesudah makan. Dapat diberikan bersama makanan untuk mengurangi rasa tidak nyaman pada saluran pencernaan.,"NUCEF merupakan antibiotik yang mengandung Cefixime. Cefixime adalah antibiotik golongan cephalosporin generasi ketiga. Cefixime merupakan antibiotik yang memiliki spektrum luas, aktif terhadap bakteri gram negatif mapun gram positif. Antibiotik ini digunakan untuk mengobati infeksi saluran kemih tanpa komplikasi, otitis media, faringiris dan tonsilitis, serta bronkitis akut dan kronis dengan eksaserbasi akut. Obat ini bekerja sebagai bakterisidal dengan mekanisme kerja obat dengan cara mengikat satu atau lebih penicillin-binding proteins (PBP) yang menghambat transpeptidasi tahap terakhir dari sintesis peptidoglikan di dinding sel bakteri, sehingga menghambat biosintesis dan mencegah pembentukan dinding sel yang mengakibatkan kematian sel bakteri. Dalam menggunakan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. Pembelian obat ini memerlukan edukasi terkait penggunaan atau pengonsumsian obat yang tepat dan aman yang akan dikenakan biaya.","PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. - Dosis harian yang lazim untuk pediatrik adalah 1,5 - 3 mg (potensi)/ kg berat badan, diberikan per oral 2 kali sehari. Dosis sebaiknya disesuaikan dengan keadaan pasien. Untuk infeksi yang berat, dosis dapat ditingkatkan sampai 6 mg (potensi)/kg berat badan diberikan 2 kali sehari. - Dewasa dan anak-anak dengan berat badan sama dengan atau lebih dari 30 kg, dosis harian yang direkomendasikan adalah 50-100 mg (potensi) cefixime, diberikan per oral dua kali sehari. Untuk infeksi yang berat, dosis dapat ditingkatkan sampai 200 mg (potensi) diberikan dua kali sehari.","Syok, Hipersensitivitas, Hematologi, Hati, Ginjal, Saluran Cerna, Pernapasan, Perubahan flora bakteri, Defisiensi vitamin, Pengaruh terhadap tes laboratorium",Obat Keras (Merah),"INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Infeksi saluran kemih tanpa komplikasi, otitis media, (radang rongga gendang telinga), faringitis dan tonsilitis, bronkhitis akut dan kronis serta eksaserbasi (kumatnya penyakit atau gejala penyakit secara mendadak) akut","Dus, Botol @ 30 ml",Cefixime 100 mg / 5 ml,Pasien dengan riwayat syok atau hipersensitif terhadap beberapa bahan dari obat ini.,Guardian Pharmatama,BPOM: DKL0808014938A1,"HARUS DENGAN RESEP DOKTER. Hati-hati terhadap reaksi hipersensitif karena reaksi-reaksi seperti syok dapat terjadi. - Cefixime sebaiknya jangan diberikan kepada pasien yang masih dapat diobati dengan antibiotik lain. Jika perlu, harus diberikan dengan hati-hati. - Pasien dengan riwayat hipersensitif terhadap bahan-bahan dalam sediaan atau dengan antibiotik cephalosporin lainnya. - Cefixime harus diberikan dengan hati-hati kepada pasien-pasien berikut: 1. Pasien dengan riwayat hipersensitif terhadap penicillin. 2. Pasien dengan riwayat personal atau familial terhadap berbagai bentuk alergi seperti asma bronkial, ruam, dan urtikaria. 3. Pasien dengan gangguan fungsi ginjal berat. 4. Pasien dengan nutrisi oal yang rendah, yang sedang mendapatkan nutrisi parenteral, pasien usia lanjut atau yang dalam keadaan lemah. Pasien harus diamati karena dapat terjadi gejala-gejala defisiensi vitamin K. - Penggunaan selama kehamilan: Keamanan pemakaian cefixime selama masa kehamilan belum dibuktikan. Sebaiknya cefixime hanya diberikan bila manfaat terapeutik lebih besar dibandingkan risiko yang mungkin terjadi. - Penggunaan pada wanita menyusui: Belum diketahui apakah cefixime diekskresikan melalui air susu ibu. Oleh karena itu, sebaiknya tidak menyusui selama terapi dengan obat ini. - Penggunaan pada anak-anak: Keamanan dan efektivitas penggunaan cefixime pada anak-anak dengan usia kurang dari 6 bulan belum dibuktikan (termasuk bayi baru lahir dan prematur)."
Oavit 10 Kapsul,Rp49.500 - Rp178.200,,"OAVIT merupakan suplemen yang mengandung colagen, yang berfungsi untuk memelihara kesehatan sendi",Sehari 1 Kapsul,,Vitamin & Suplemen,"untuk Osteoartritis dan ketidaknyamanan sendi, menjaga kesehatan sendi secara keseluruhan","Dus, 3 Strip @ 10 Kapsul",Tiap kapsul mengandung: UC-II�(Undenatured Type II Collagen) 40 mg MSM(Methylsulfonylmethane) 300 mg BSE(Boswellia Serrata Extract ) 100 mg,,Global Health Pharma,BPOM: SD192354911,
Fluimucil 600 mg 2 Tablet Effervescent,Rp18.700 - Rp41.200,Larutkan tablet effervescent ke dalam gelas yang berisi air secukupnya.,"FLUIMUCIL Effervescent 600 mengandung zat aktif Acetylcysteine 600 mg, yang diindikasikan sebagai obat batuk-mukolitik bekerja dengan mengencerkan dahak dan mengaktifkan sistem silia pembersihan paru. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER.","ATURAN PAKAI HARUS SESUAI DENGAN PETUNJUK DOKTER. Treatment penyakit saluran pernafasan 1 tablet effervescent per hari (lebih baik pada malam hari), atau tergantung dari peresepan dokter. Untuk keracunan parasetamol yang disengaja maupun tidak, sesuai petunjuk dokter / apoteker.","Umum (terjadi pada 1 diantara 100 orang) : Reaksi alergi, sakit kepala, telinga berdengung, peningkatan denyut jantung, muntah, diare, radang mulut, sakit perut, iritasi kulit, ruam, pembengkakan akibat akumulasi cairan disekitar mulut dan mata, gatal, demam dan penurunan tekanan darah Jarang (kemungkinan 1 dari 1.000 orang) : kram dan kejang otot bronkus, kesulitan bernafas, gangguan pencernaan. Sangat jarang ( kemungkinan 1 dari 10.000 orang) : reaksi alergi, perdarahan. Tidak di ketahui frekuensinya : pembengkakan Konsultasikan ke dokter bila mengalami efek samping reaksi kulit hebat seperti Stevens-Johnson syndrome dan lyell's syndrome serta kelainan darah.",Obat Keras (Merah),INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Sebagai treatment penyakit saluran pernafasan yang ditandai dengan hipersekresi mukus yang tebal dan kental. FLUIMUCIL Effervescent 600 juga digunakan untuk terapi antidotum keracunan parasetamol yang disengaja maupun tidak.,"Dus, 5 Blister @ 2 Tablet Effervescent",Tiap tablet Effervescent mengandung Acetylcysteine 600 mg,Hipersensitif terhadap Acetylcysteine atau zat tambahan obat ini Anak-anak dibawah 2 tahun,Zambon,BPOM: DKI1214500411A1,"Obat Wajib Apotek, Obat ini dapat dibeli dan diserahkan apoteker tanpa resep dengan maksimum 10 Strip. Pembelian melebihi batas ini WAJIB RESEP DOKTER. Jangan minum FLUIMUCIL - Bila hipersensitif terhadap zat aktif atau zat tambahan obat ini - Pada penderita dengan riwayat gastritis, sebaiknya diberikan setelah makan."
Celebrex 100 mg 10 Kapsul,Rp143.700 - Rp165.900,Sesudah makan,"CELEBREX 100 MG KAPSUL merupakan obat yang mengandung Celecoxib. Celecoxib merupakan obat golongan antiinflamasi nonsteroid (OAINS). Obat ini bekerja secara selektif pada enzim siklooksigenase (COX-2). Celecoxib secara reversibel menghambat transformasi asam arakidonat menjadi prostaglandin prekursor. Aktivitasnya yang selektif pada COX-2 membuatnya memiliki aktivitas sebagai antipiretik, analgesik dan anti inflamasi. Obat ini digunakan untuk mengatasi nyeri dan pembengkakan akibat rheumatoid arthritis, osteoarthritis, gout arthritis serta ketika pasien juga mengalami peradangan, dan mengurangi gangguan inflamasi (peradangan) secara umum. Dalam menggunakan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. Pembelian obat ini memerlukan edukasi terkait penggunaan atau pengonsumsian obat yang tepat dan aman yang akan dikenakan biaya.","PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Dewasa Osteoarthritis (OA) & Spondilitis ankilosa : 200 mg, 1 kali sehari 1 kapsul atau 100 mg, 2 kali sehari 1 kapsul. Max.400 mg per hari. Rheumatoid arthritis (RA) : 100-200 mg 2 kali sehari. Max.400 mg per hari. Maksimal penggunaan 7 hari","Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis. Efek samping yang mungkin terjadi dalam penggunaan obat diantaranya Retensi cairan, edema, hipertensi, nekrosis papiler ginjal (penggunaan jangka panjang), Anemia, Angina pektoris, Mual, sakit perut, diare, dispepsia, perut kembung, muntah, disfagia, GERD, sindrom iritasi usus besar",Obat Keras (Merah),"INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Meredakan tanda dan gejala OA, RA & Ankilosing Spondilitis pada orang dewasa","Dus, 10 Blister @ 10 Kapsul",Celecoxib 100 mg,"Hipersensitivitas terhadap celecoxib dan NSAID lain, aspirin atau sulfonamid. Ulserasi peptik aktif atau perdarahan gastrointestinal, penyakit inflamasi usus, penyakit jantung iskemik, penyakit serebrovaskular, atau penyakit arteri perifer. Gangguan ginjal berat dan hati. Kehamilan (trimester 3) dan menyusui.",Pfizer,BPOM: DKL1919809701A1,"HARUS DENGAN RESEP DOKTER. Pasien dengan riwayat komplikasi gastrointestinal (misalnya ulserasi dan perdarahan), hipertensi, diabetes mellitus, hiperlipidemia. Gangguan hati sedang. Anak-anak dan orang tua. Kehamilan (trimester 1-2). Katagori kehamilan : Kategori C (sebelum usia kehamilan 30 minggu) : Mungkin berisiko. Obat digunakan dengan hati-hati apabila besarnya manfaat yang diperoleh melebihi besarnya risiko terhadap janin. Penelitian pada hewan uji menunjukkan risiko terhadap janin dan belum terdapat penelitian langsung terhadap wanita hamil. Kategori D (dimulai pada usia kehamilan 30 minggu) : Terbukti berisiko terhadap janin. Meski demikian, obat masih dapat digunakan jika obat diperlukan untuk mengatasi keadaan yang mengancam jiwa, atau penyakit serius, dimana obat yang lebih aman tidak dapat digunakan atau tidak efektif."
Profim Dry Sirup 30 ml,Rp96.300,Dikonsumsi sebelum atau sesudah makan. Dapat diberikan bersama makanan untuk mengurangi rasa tidak nyaman pada saluran pencernaan.,"Profim Sirup mengandung Cefixime. Cefixime adalah antibiotik golongan cephalosporin generasi ketiga. Cefixime merupakan antibiotik yang memiliki spektrum luas, aktif terhadap bakteri gram negatif mapun gram positif. Antibiotik ini digunakan untuk mengobati infeksi saluran kemih tanpa komplikasi, otitis media, faringiris dan tonsilitis, serta bronkitis akut dan kronis dengan eksaserbasi akut. Obat ini bekerja sebagai bakterisidal dengan mekanisme kerja obat dengan cara mengikat satu atau lebih penicillin-binding proteins (PBP) yang menghambat transpeptidasi tahap terakhir dari sintesis peptidoglikan di dinding sel bakteri, sehingga menghambat biosintesis dan mencegah pembentukan dinding sel yang mengakibatkan kematian sel bakteri. Dalam menggunakan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. Pembelian obat ini memerlukan edukasi terkait penggunaan atau pengonsumsian obat yang tepat dan aman yang akan dikenakan biaya.","PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. - Dosis harian yang lazim untuk pediatrik adalah 1,5 - 3 mg (potensi)/ kg berat badan, diberikan per oral 2 kali sehari. Dosis sebaiknya disesuaikan dengan keadaan pasien. Untuk infeksi yang berat, dosis dapat ditingkatkan sampai 6 mg (potensi)/kg berat badan diberikan 2 kali sehari. - Dewasa dan anak-anak dengan berat badan sama dengan atau lebih dari 30 kg, dosis harian yang direkomendasikan adalah 50-100 mg (potensi) cefixime, diberikan per oral dua kali sehari. Untuk infeksi yang berat, dosis dapat ditingkatkan sampai 200 mg (potensi) diberikan dua kali sehari.","Syok, Hipersensitivitas, Hematologi, Hati, Ginjal, Saluran Cerna, Pernapasan, Perubahan flora bakteri, Defisiensi vitamin, Pengaruh terhadap tes laboratorium",Obat Keras (Merah),"INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Infeksi saluran kemih tanpa komplikasi, otitis media, (radang rongga gendang telinga), faringitis dan tonsilitis, bronkhitis akut dan kronis serta eksaserbasi (kumatnya penyakit atau gejala penyakit secara mendadak) akut.",Botol @ 30 ml,Per 5 mL : Cefixime 100 mg,Pasien dengan riwayat syok atau hipersensitif terhadap beberapa bahan dari obat ini.,Promedrahardjo Farmasi Industri,BPOM: DKL2233217538A1,"HARUS DENGAN RESEP DOKTER. Hati-hati terhadap reaksi hipersensitif karena reaksi-reaksi seperti syok dapat terjadi. - Cefixime sebaiknya jangan diberikan kepada pasien yang masih dapat diobati dengan antibiotik lain. Jika perlu, harus diberikan dengan hati-hati. - Pasien dengan riwayat hipersensitif terhadap bahan-bahan dalam sediaan atau dengan antibiotik cephalosporin lainnya. - Cefixime harus diberikan dengan hati-hati kepada pasien-pasien berikut: 1. Pasien dengan riwayat hipersensitif terhadap penicillin. 2. Pasien dengan riwayat personal atau familial terhadap berbagai bentuk alergi seperti asma bronkial, ruam, dan urtikaria. 3. Pasien dengan gangguan fungsi ginjal berat. 4. Pasien dengan nutrisi oal yang rendah, yang sedang mendapatkan nutrisi parenteral, pasien usia lanjut atau yang dalam keadaan lemah. Pasien harus diamati karena dapat terjadi gejala-gejala defisiensi vitamin K. - Penggunaan selama kehamilan: Keamanan pemakaian cefixime selama masa kehamilan belum dibuktikan. Sebaiknya cefixime hanya diberikan bila manfaat terapeutik lebih besar dibandingkan risiko yang mungkin terjadi. - Penggunaan pada wanita menyusui: Belum diketahui apakah cefixime diekskresikan melalui air susu ibu. Oleh karena itu, sebaiknya tidak menyusui selama terapi dengan obat ini. - Penggunaan pada anak-anak: Keamanan dan efektivitas penggunaan cefixime pada anak-anak dengan usia kurang dari 6 bulan belum dibuktikan (termasuk bayi baru lahir dan prematur)."
Boost Optimum 800 g,Rp234.700 - Rp410.400,Larutkan 7 sendok takar full (57 g) dalam 210 ml air hangat dengan suhu tidak lebih dari 45� C.,"BOOST OPTIMUM diperkaya dengan Protein Whey yang kaya akan Leucin untuk mempertahankan kekuatan otot, Vitamin D untuk menjaga kepadatan tulang, dan Vitamin E, B6, dan B12 untuk membantu meningkatkan daya tahan tubuh. Selain itu, produk ini juga diperkaya dengan Lemak nabati, kaya akan MUFA (Mono Unsaturated Fatty Acid) untuk menjaga kesehatan jantung, Probiotik (Bifidobacterium Longum dan Lactobacillus Paracasei) dan Prebiotik serat pangan (Fructo Oligo Sacarida, Inulin, dan Acacia Gum) untuk membantu menjaga kesehatan saluran cerna, serta rendah laktosa, tanpa penambah gluten, dan bebas lemak. Produk ini dapat membantu memenuhi kebutuhan nutrisi harian agar tetap aktif sepanjang usia dan cocok digunakan untuk mengembalikan produktifitas saat masa pemulihan. Boost optimum tersedia dalam varian rasa vanila.",Sesuai kebutuhan atau sesuai petunjuk dokter/ahli gizi.,,Pangan Olahan Keperluan Medis Khusus,"Boost Optimum dapat diberikan untuk kondisi: kurang zat gizi atau sedang membutuhkan suplementasi nutrisi, sedang dalam aktivitas atau pekerjaan yang padat dan kecenderungan melewatkan makan, kurang istirahat, sedang dalam diet atau dalam kondisi kurang berat badan, kehilangan nafsu makan, lanjut usia, serta pasien dalam kondisi pemulihan setelah sakit",Kaleng @ 800 g,"Maltodekstrin, Protein Susu (Whey, Kasein), Campuran Minyak Nabati (mengandung Antioksidan Askorbil Palmitat), Gula, Oligofruktosa, 7 Mineral dan Premiks Mineral, Inulin, Pengemulsi Lesitin Kedelai, Perisa Sintetik Vanila, Pengatur Keasaman, Premiks Vitamin, Lactobacillus paracasei NCC2461, L-karnitin, dan Pemanis Buatan Asesulfam-K.",Tidak cocok dan berbahaya bagi orang dewasa yang tidak memiliki gangguan medis khusus. Sebaiknya konsultasikan kepada dokter untuk penggunaannya.,Nestle,BPOM: ML562512021040,"Produk ini merupakan pangan olahan keperluan medis khusus untuk menjaga kondisi tubuh ataupun mengembalikan produktivitas saat masa pemulihan dari sakit bagi orang dewasa yang kurang gizi. Penggunaan produk ini harus dengan rekomendasi dokter Buang produk yang telah dipanaskan. Produk yang sudah diseduh harus segera ditutup dan dikonsumsi dalam waktu 4 jam jika disimpan dalam suhu ruang atau 24 jam jika disimpan di lemari pendingin. Produk yang sudah dibuka harus habis dalam waktu 1 bulan. Cara penyimpanan : Simpan di bawah suhu 30 C , wadah tertutup rapat , kering dan terlindung dari cahaya matahari dan kelembaban ."
